date,sku,SK,promo_flag,p10,p50,p90
2025-08-31,73752,СК Столица,0,228.23170115135903,398.92396805509026,1167.300063222519
2025-09-30,73752,СК Столица,0,1208.0923502939154,1311.733572910399,1757.5489243157808
2025-10-31,73752,СК Столица,0,621.2799704503346,692.8340293021058,1378.6965603616277
2025-11-30,73752,СК Столица,0,93.74678583001992,260.1142674485327,1000.633131946768
2025-12-31,73752,СК Столица,0,0.0,108.35855092354473,548.3520581581304
2026-01-31,73752,СК Столица,0,0.0,74.08520344747042,476.3407739961195
2026-02-28,73752,СК Столица,0,90.91685417452548,237.25589481802996,925.2231083750316
2026-03-31,73752,СК Столица,0,286.03135123295465,391.7534624824478,1031.7443609942377
2026-04-30,73752,СК Столица,0,126.2357704463297,272.4209976753708,808.2206440977828
2026-05-31,73752,СК Столица,0,7.032464764981424,192.5720456141248,622.9214493901736
2026-06-30,73752,СК Столица,0,211.7844921552065,386.5989495822778,1098.796421634643
2026-07-31,73752,СК Столица,0,160.6784955511225,322.56779987962943,801.6333534958842
2025-08-31,73753,СК Столица,0,30.83615032127587,209.41107577119257,731.6868281109128
2025-09-30,73753,СК Столица,0,616.7048005133886,755.1316087471822,1075.159277938843
2025-10-31,73753,СК Столица,0,377.205813944629,505.9493108586023,1174.454190758784
2025-11-30,73753,СК Столица,0,0.0,107.10188158079772,690.42239233998
2025-12-31,73753,СК Столица,0,0.0,36.61595401525232,448.2283788735195
2026-01-31,73753,СК Столица,0,0.0,40.06361166801063,425.3998978452807
2026-02-28,73753,СК Столица,0,46.77610523648289,71.97756368891474,849.1442179228394
2026-03-31,73753,СК Столица,0,213.91910185434745,296.3166786951931,755.0329460099214
2026-04-30,73753,СК Столица,0,0.0,46.16763582034075,520.4185793764067
2026-05-31,73753,СК Столица,0,102.10635636115408,160.02327357462093,372.84407535394223
2026-06-30,73753,СК Столица,0,19.46034432927568,115.72586519087513,500.7368666938815
2026-07-31,73753,СК Столица,0,53.58863029947821,98.91109924783822,322.397550756509
2025-08-31,73754,СК Столица,0,0.0,53.64426951967432,409.19219331994896
2025-09-30,73754,СК Столица,0,181.46760659811687,305.46801481758354,760.5541007276596
2025-10-31,73754,СК Столица,0,53.177246243501834,183.82401450226297,579.6762520172598
2025-11-30,73754,СК Столица,0,0.0,0.0,214.77889125173328
2025-12-31,73754,СК Столица,0,0.0,0.0,266.65478215653127
2026-01-31,73754,СК Столица,0,0.0,0.0,248.46793477605695
2026-02-28,73754,СК Столица,0,93.38172835623736,120.0640139029936,890.5524021307704
2026-03-31,73754,СК Столица,0,40.73483051297057,107.6977431018434,781.5278011878567
2026-04-30,73754,СК Столица,0,35.8912587113035,77.78832983009578,601.7675291655422
2026-05-31,73754,СК Столица,0,45.75978731776483,106.81652494014644,333.06133653585243
2026-06-30,73754,СК Столица,0,156.420279532024,200.06204808062253,622.1063297905176
2026-07-31,73754,СК Столица,0,110.2675760715812,173.68005057100538,440.1227761012977
2025-08-31,73761,СК Столица,0,10355.183532878316,10365.514286375,13070.820051182543
2025-09-30,73761,СК Столица,0,20867.099386647475,21142.42902788643,23587.23076189024
2025-10-31,73761,СК Столица,0,15524.648725457037,15840.239317331709,18383.11376199063
2025-11-30,73761,СК Столица,0,478.4372715660986,816.5878076133463,2565.723577886764
2025-12-31,73761,СК Столица,0,353.59297035636126,450.4569982615286,2926.89789336873
2026-01-31,73761,СК Столица,0,1746.195372843829,2114.025921753199,3481.767126572492
2026-02-28,73761,СК Столица,0,8236.495264115756,8244.926538559523,9182.527097299697
2026-03-31,73761,СК Столица,0,11558.510358309277,11558.914459275533,13988.81707778514
2026-04-30,73761,СК Столица,0,7668.178937709955,7711.582643872761,9618.858452993836
2026-05-31,73761,СК Столица,0,999.7342329007952,1292.4426369801956,3709.140537099651
2026-06-30,73761,СК Столица,0,11568.68492277432,11984.560923221688,14432.40031575794
2026-07-31,73761,СК Столица,0,11855.930645446058,12209.632872480352,13890.339800608332
2025-08-31,73762,СК Столица,0,5978.171121483311,6247.697149296418,8884.015954487326
2025-09-30,73762,СК Столица,0,20933.366053314145,21209.99398383266,23653.49742855691
2025-10-31,73762,СК Столица,0,14272.582058790364,14589.470939944606,17131.047095323964
2025-11-30,73762,СК Столица,0,327.46191886402823,517.809181503086,3399.4118783724307
2025-12-31,73762,СК Столица,0,203.1008221622176,431.1023511215398,2090.9083470212386
2026-01-31,73762,СК Столица,0,1941.2620395104957,2307.2128328084677,3676.8337932391582
2026-02-28,73762,СК Столица,0,8438.134768978218,8459.311370895635,9805.22738188843
2026-03-31,73762,СК Столица,0,10497.297269364544,10499.5811259422,13036.633571195822
2026-04-30,73762,СК Столица,0,7347.282399767453,7395.4739180249235,9368.76377508282
2026-05-31,73762,СК Столица,0,1781.9704684574533,2045.1675358380571,4862.2518807861725
