number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_learning_rate,state,naive_pinball_p50,improvement_vs_naive
33,594.7187493919754,2025-09-10 10:10:49.787592,2025-09-10 10:10:54.416555,0 days 00:00:04.628963,4,2042,0.02277506473164271,COMPLETE,745.8081917197717,0.20258485225188605
34,593.4327872616575,2025-09-10 10:10:54.416742,2025-09-10 10:11:01.633841,0 days 00:00:07.217099,5,2287,0.02991268723806058,COMPLETE,745.8081917197717,0.2043091054105335
35,606.6992837118185,2025-09-10 10:11:01.634009,2025-09-10 10:11:07.132440,0 days 00:00:05.498431,6,1201,0.03616414782286786,COMPLETE,745.8081917197717,0.18652102451057784
36,599.897711070849,2025-09-10 10:11:07.132613,2025-09-10 10:11:10.973698,0 days 00:00:03.841085,4,1677,0.023973266969703703,COMPLETE,745.8081917197717,0.19564075893624233
37,633.0495478969632,2025-09-10 10:11:10.973868,2025-09-10 10:11:26.320141,0 days 00:00:15.346273,7,2379,0.020815773829442306,COMPLETE,745.8081917197717,0.1511898703643848
38,588.1483253007818,2025-09-10 10:11:26.320293,2025-09-10 10:11:32.435257,0 days 00:00:06.114964,5,1999,0.02949694606053963,COMPLETE,745.8081917197717,0.21139465638670352
39,590.3895092607177,2025-09-10 10:11:32.435429,2025-09-10 10:11:34.303758,0 days 00:00:01.868329,4,854,0.04017237357137083,COMPLETE,745.8081917197717,0.20838961570088343
40,612.1738141880039,2025-09-10 10:11:34.303926,2025-09-10 10:11:43.734882,0 days 00:00:09.430956,6,2210,0.02518872355023675,COMPLETE,745.8081917197717,0.1791806244761378
41,622.0373606595616,2025-09-10 10:11:43.735059,2025-09-10 10:11:49.234693,0 days 00:00:05.499634,5,1835,0.04999400510092041,COMPLETE,745.8081917197717,0.16595531188093393
42,584.1937415662281,2025-09-10 10:11:49.234846,2025-09-10 10:11:53.749126,0 days 00:00:04.514280,5,1548,0.020038273872823,COMPLETE,745.8081917197717,0.21669707030285368
43,580.9303080584393,2025-09-10 10:11:53.749298,2025-09-10 10:11:57.713482,0 days 00:00:03.964184,5,1303,0.02021260242513958,COMPLETE,745.8081917197717,0.22107277111174883
44,590.3313045349223,2025-09-10 10:11:57.713636,2025-09-10 10:12:01.438524,0 days 00:00:03.724888,5,1217,0.020831569624313706,COMPLETE,745.8081917197717,0.20846765818746582
45,591.1010258874232,2025-09-10 10:12:01.438677,2025-09-10 10:12:06.091974,0 days 00:00:04.653297,5,1544,0.020194116572422614,COMPLETE,745.8081917197717,0.20743559476814888
46,619.7715750131046,2025-09-10 10:12:06.092135,2025-09-10 10:12:12.060498,0 days 00:00:05.968363,6,1356,0.02778128825321966,COMPLETE,745.8081917197717,0.16899333918019477
47,573.5321291829871,2025-09-10 10:12:12.060677,2025-09-10 10:12:16.343730,0 days 00:00:04.283053,5,1373,0.021625989911840147,COMPLETE,745.8081917197717,0.23099245147674008
48,700.5064362095479,2025-09-10 10:12:16.343900,2025-09-10 10:12:20.515032,0 days 00:00:04.171132,5,1378,0.17131487694934122,COMPLETE,745.8081917197717,0.06074183149659651
49,647.4332147367223,2025-09-10 10:12:20.515191,2025-09-10 10:12:32.154127,0 days 00:00:11.638936,8,1083,0.02197705600936121,COMPLETE,745.8081917197717,0.13190385688336947
50,591.689655240035,2025-09-10 10:12:32.154292,2025-09-10 10:12:36.761938,0 days 00:00:04.607646,5,1548,0.02611042122114122,COMPLETE,745.8081917197717,0.20664634444997465
51,589.3302437965413,2025-09-10 10:12:36.762136,2025-09-10 10:12:40.701130,0 days 00:00:03.938994,5,1302,0.020010491013818073,COMPLETE,745.8081917197717,0.20980990777589248
52,587.5195572594821,2025-09-10 10:12:40.701309,2025-09-10 10:12:44.368181,0 days 00:00:03.666872,5,1255,0.02458970264591811,COMPLETE,745.8081917197717,0.21223772575531674
53,597.5144829016378,2025-09-10 10:12:44.368331,2025-09-10 10:12:48.670987,0 days 00:00:04.302656,5,1482,0.028470266556491493,COMPLETE,745.8081917197717,0.19883625637870894
54,621.7490814026833,2025-09-10 10:12:48.671203,2025-09-10 10:12:53.822314,0 days 00:00:05.151111,6,1129,0.02194462916526103,COMPLETE,745.8081917197717,0.16634184458475632
55,598.6966785433694,2025-09-10 10:12:53.822576,2025-09-10 10:12:56.669820,0 days 00:00:02.847244,5,914,0.02526560781770024,COMPLETE,745.8081917197717,0.19725113616300638
56,595.2834757748922,2025-09-10 10:12:56.669983,2025-09-10 10:13:00.929476,0 days 00:00:04.259493,5,1415,0.03135970420389992,COMPLETE,745.8081917197717,0.2018276516885421
57,584.4661218963953,2025-09-10 10:13:00.929684,2025-09-10 10:13:05.743958,0 days 00:00:04.814274,5,1622,0.02160926451333353,COMPLETE,745.8081917197717,0.21633185531434695
58,601.5676005315551,2025-09-10 10:13:05.744155,2025-09-10 10:13:10.971116,0 days 00:00:05.226961,5,1650,0.03549221513867931,COMPLETE,745.8081917197717,0.19340172552356905
59,656.0156545899954,2025-09-10 10:13:10.971337,2025-09-10 10:13:17.973017,0 days 00:00:07.001680,6,1584,0.1068127599981694,COMPLETE,745.8081917197717,0.12039628704361927
