number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_min_data_in_leaf,params_n_estimators,params_num_leaves,state,naive_pinball_p50,improvement_vs_naive
33,305.2192052942115,2025-09-09 21:15:03.297663,2025-09-09 21:15:31.144113,0 days 00:00:27.846450,0.020266682002044917,22,508,87,COMPLETE,386.12595863324486,0.20953461307138177
34,345.7454287197092,2025-09-09 21:15:31.144286,2025-09-09 21:15:55.518412,0 days 00:00:24.374126,0.031180603696882796,44,636,108,COMPLETE,386.12595863324486,0.1045786459332314
35,303.996143773415,2025-09-09 21:15:55.518592,2025-09-09 21:16:26.636059,0 days 00:00:31.117467,0.02596141828359448,10,403,97,COMPLETE,386.12595863324486,0.21270213261636595
36,375.84138349117313,2025-09-09 21:16:26.636211,2025-09-09 21:16:39.079123,0 days 00:00:12.442912,0.027742455012598536,74,523,74,COMPLETE,386.12595863324486,0.026635285486828253
37,358.1518328524191,2025-09-09 21:16:39.079292,2025-09-09 21:16:54.535197,0 days 00:00:15.455905,0.0330614804319177,57,1004,15,COMPLETE,386.12595863324486,0.07244818732168312
38,418.8315321156108,2025-09-09 21:16:54.535350,2025-09-09 21:17:05.047220,0 days 00:00:10.511870,0.02312772944247652,127,699,97,COMPLETE,386.12595863324486,-0.08470182527518366
39,433.285770353271,2025-09-09 21:17:05.047389,2025-09-09 21:17:09.506256,0 days 00:00:04.458867,0.09113093611794572,168,367,120,COMPLETE,386.12595863324486,-0.12213582294999248
40,307.11476121744687,2025-09-09 21:17:09.506398,2025-09-09 21:17:48.857904,0 days 00:00:39.351506,0.05447451196022198,23,614,104,COMPLETE,386.12595863324486,0.2046254483782206
41,309.8495985440031,2025-09-09 21:17:48.858072,2025-09-09 21:18:16.243374,0 days 00:00:27.385302,0.026321671377776412,17,404,109,COMPLETE,386.12595863324486,0.1975426888138634
42,309.7161192999532,2025-09-09 21:18:16.243535,2025-09-09 21:18:56.960990,0 days 00:00:40.717455,0.020032348509320706,11,496,116,COMPLETE,386.12595863324486,0.19788837716002472
43,334.00975570427715,2025-09-09 21:18:56.961150,2025-09-09 21:19:12.111468,0 days 00:00:15.150318,0.02431169747985885,35,351,122,COMPLETE,386.12595863324486,0.1349720260027102
44,311.38271470988934,2025-09-09 21:19:12.111619,2025-09-09 21:19:34.687485,0 days 00:00:22.575866,0.026834103764138837,21,426,78,COMPLETE,386.12595863324486,0.19357218092231165
45,337.9993590208909,2025-09-09 21:19:34.687640,2025-09-09 21:20:10.046095,0 days 00:00:35.358455,0.03181831974518872,36,779,99,COMPLETE,386.12595863324486,0.12463963775630582
46,349.2524417949377,2025-09-09 21:20:10.046255,2025-09-09 21:20:29.350536,0 days 00:00:19.304281,0.022379479188733554,47,558,88,COMPLETE,386.12595863324486,0.09549608363246787
47,304.88293680150827,2025-09-09 21:20:29.350700,2025-09-09 21:20:59.514579,0 days 00:00:30.163879,0.024953191408327094,18,456,106,COMPLETE,386.12595863324486,0.2104054907867614
48,306.8988472038831,2025-09-09 21:20:59.514828,2025-09-09 21:21:15.558509,0 days 00:00:16.043681,0.029891066341639353,10,361,47,COMPLETE,386.12595863324486,0.20518462863724285
49,314.30132446275707,2025-09-09 21:21:15.558676,2025-09-09 21:21:51.096482,0 days 00:00:35.537806,0.035374109698993614,27,605,121,COMPLETE,386.12595863324486,0.18601348229661296
50,337.10388439994045,2025-09-09 21:21:51.096654,2025-09-09 21:22:43.566690,0 days 00:00:52.470036,0.021801803402510433,40,1251,114,COMPLETE,386.12595863324486,0.12695876342224166
51,309.65585029591165,2025-09-09 21:22:43.566874,2025-09-09 21:23:07.928578,0 days 00:00:24.361704,0.021786161954678574,11,300,127,COMPLETE,386.12595863324486,0.19804446354244476
52,303.2492682325748,2025-09-09 21:23:07.928723,2025-09-09 21:23:34.827149,0 days 00:00:26.898426,0.026677715925972994,21,410,119,COMPLETE,386.12595863324486,0.21463641215427598
53,300.70867925893947,2025-09-09 21:23:34.827324,2025-09-09 21:24:07.483822,0 days 00:00:32.656498,0.0268856715649156,17,456,117,COMPLETE,386.12595863324486,0.22121610180432738
54,303.0439210841973,2025-09-09 21:24:07.484259,2025-09-09 21:25:41.938888,0 days 00:01:34.454629,0.027622350773017793,24,1397,123,COMPLETE,386.12595863324486,0.21516822604501873
55,315.9516615960524,2025-09-09 21:25:41.939324,2025-09-09 21:26:54.501217,0 days 00:01:12.561893,0.02773081588928205,31,1362,119,COMPLETE,386.12595863324486,0.18173939220658897
56,350.6458901440212,2025-09-09 21:26:54.501392,2025-09-09 21:27:37.931664,0 days 00:00:43.430272,0.03831820446946672,50,1212,123,COMPLETE,386.12595863324486,0.09188729142897067
57,358.363686797105,2025-09-09 21:27:37.931823,2025-09-09 21:28:06.476023,0 days 00:00:28.544200,0.03331113245588931,63,1025,117,COMPLETE,386.12595863324486,0.07189952194462368
58,306.1669660304814,2025-09-09 21:28:06.476202,2025-09-09 21:29:11.374187,0 days 00:01:04.897985,0.13397578286677952,23,914,127,COMPLETE,386.12595863324486,0.20708007533549733
59,334.0779455393222,2025-09-09 21:29:11.374806,2025-09-09 21:30:14.614974,0 days 00:01:03.240168,0.1912599137083739,39,1396,111,COMPLETE,386.12595863324486,0.13479542602666506
