sku,category,SK,date,qty,oos_flag,promo_flag
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-12-01,1413,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-01-01,261,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-02-01,205,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-03-01,382,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-04-01,431,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-05-01,585,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-06-01,495,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-07-01,589,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-08-01,830,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-09-01,2850,0.952380952380952,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-10-01,1518,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-11-01,649,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-12-01,321,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-01-01,215,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-02-01,556,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-03-01,899,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-04-01,670,1.0,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-05-01,501,0.611111111111111,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-06-01,887,0.789473684210526,0
73752,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-07-01,754,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-03-01,40,0.571428571428571,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-05-01,28,0.117647058823529,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-06-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-07-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-08-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-09-01,36,0.590909090909091,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-10-01,115,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-11-01,142,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-12-01,76,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-01-01,20,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-02-01,21,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-03-01,40,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-04-01,35,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-05-01,99,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-06-01,108,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-07-01,16,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-08-01,63,0.863636363636364,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-09-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-10-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-11-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2021-12-01,0,0.136363636363636,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-01-01,2,0.4375,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-02-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-03-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-04-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-05-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-06-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-07-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-08-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-09-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-10-01,3,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-11-01,0,0.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2022-12-01,195,0.727272727272727,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-01-01,137,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-02-01,465,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-03-01,285,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-04-01,170,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-05-01,365,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-06-01,166,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-07-01,111,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-08-01,198,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-09-01,839,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-10-01,280,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-11-01,45,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2023-12-01,776,0.904761904761905,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-01-01,356,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-02-01,246,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-03-01,231,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-04-01,255,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-05-01,546,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-06-01,442,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-07-01,484,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-08-01,514,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-09-01,1681,0.952380952380952,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-10-01,1190,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-11-01,352,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2024-12-01,167,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-01-01,160,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-02-01,209,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-03-01,686,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-04-01,175,0.909090909090909,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-05-01,415,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-06-01,319,1.0,0
73753,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2025-07-01,273,1.0,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-05-01,129,0.941176470588235,0
73754,"743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",СК Столица,2020-06-01,0,0.1,0
