"date","sku","category","qty","promo_flag","oos_flag","comp_price_index","comp_qty_index","comp_promo_flag"
2023-09-30,"14007","140-Воротки",54.000000000000,0,1,1,1,0
2023-09-30,"14008","140-Воротки",9.000000000000,0,1,1,1,0
2023-09-30,"14009","140-Воротки",6.000000000000,0,1,1,1,0
2023-09-30,"14010","140-Воротки",7.000000000000,0,1,1,1,0
2023-09-30,"14013","140-Воротки",15.000000000000,0,1,1,1,0
2023-09-30,"14015","140-Воротки",54.000000000000,0,1,1,1,0
2023-09-30,"140205","140-Воротки",1.000000000000,0,1,1,1,0
2023-09-30,"14025","140-Воротки",100.000000000000,0,1,1,1,0
2023-09-30,"14026","140-Воротки",3.000000000000,0,1,1,1,0
2023-09-30,"14027","140-Воротки",63.000000000000,0,1,1,1,0
2023-09-30,"14028","140-Воротки",59.000000000000,0,1,1,1,0
2023-09-30,"14029","140-Воротки",18.000000000000,0,1,1,1,0
2023-09-30,"14030","140-Воротки",11.000000000000,0,1,1,1,0
2023-09-30,"14041","140-Воротки",23.000000000000,0,1,1,1,0
2023-09-30,"14042","140-Воротки",1.000000000000,0,1,1,1,0
2023-09-30,"14043","140-Воротки",3.000000000000,0,1,1,1,0
2023-09-30,"14044","140-Воротки",2.000000000000,0,1,1,1,0
2023-09-30,"140605","140-Воротки",3.000000000000,0,1,1,1,0
2023-09-30,"14066","140-Воротки",3.000000000000,0,1,1,1,0
2023-09-30,"14070","140-Воротки",45.000000000000,0,1,1,1,0
2023-09-30,"14074","140-Воротки",38.000000000000,0,1,1,1,0
2023-09-30,"14082","140-Воротки",2.000000000000,0,1,1,1,0
2023-09-30,"14084","140-Воротки",2.000000000000,0,1,1,1,0
2023-09-30,"14086","140-Воротки",22.000000000000,0,1,1,1,0
2023-09-30,"14137","140-Воротки",4.000000000000,0,1,1,1,0
2023-09-30,"26901","269-УШМ",3.000000000000,0,1,1,1,0
2023-09-30,"26904","269-УШМ",3.000000000000,0,1,1,1,0
2023-09-30,"26909","269-УШМ",1.000000000000,0,1,1,1,0
2023-09-30,"26910","269-УШМ",4.000000000000,0,1,1,1,0
2023-09-30,"26982","269-УШМ",12.000000000000,0,1,1,1,0
2023-09-30,"510084","510-Домкраты гидравлические подкатные",4.000000000000,0,1,1,1,0
2023-09-30,"51018","510-Домкраты гидравлические подкатные",21.000000000000,0,1,1,1,0
2023-09-30,"51019","510-Домкраты гидравлические подкатные",40.000000000000,0,1,1,1,0
2023-09-30,"51020","510-Домкраты гидравлические подкатные",77.000000000000,0,1,1,1,0
2023-09-30,"51028","510-Домкраты гидравлические подкатные",53.000000000000,0,1,1,1,0
2023-09-30,"510335","510-Домкраты гидравлические подкатные",7.000000000000,0,1,1,1,0
2023-09-30,"510345","510-Домкраты гидравлические подкатные",16.000000000000,0,1,1,1,0
2023-09-30,"51040","510-Домкраты гидравлические подкатные",112.000000000000,0,1,1,1,0
2023-09-30,"51045","510-Домкраты гидравлические подкатные",1.000000000000,0,1,1,1,0
2023-09-30,"51047","510-Домкраты гидравлические подкатные",4.000000000000,0,1,1,1,0
2023-09-30,"51127","510-Домкраты гидравлические подкатные",203.000000000000,0,1,1,1,0
2023-09-30,"51128","510-Домкраты гидравлические подкатные",97.000000000000,0,1,1,1,0
2023-09-30,"51129","510-Домкраты гидравлические подкатные",78.000000000000,0,1,1,1,0
2023-09-30,"51130","510-Домкраты гидравлические подкатные",156.000000000000,0,1,1,1,0
2023-09-30,"51131","510-Домкраты гидравлические подкатные",75.000000000000,0,1,1,1,0
2023-09-30,"51132","510-Домкраты гидравлические подкатные",282.000000000000,0,1,1,1,0
2023-09-30,"51134","510-Домкраты гидравлические подкатные",90.000000000000,0,1,1,1,0
2023-09-30,"51135","510-Домкраты гидравлические подкатные",6.000000000000,0,1,1,1,0
2023-09-30,"51136","510-Домкраты гидравлические подкатные",16.000000000000,0,1,1,1,0
2023-09-30,"51137","510-Домкраты гидравлические подкатные",10.000000000000,0,1,1,1,0
2023-09-30,"51138","510-Домкраты гидравлические подкатные",4.000000000000,0,1,1,1,0
2023-09-30,"51152","510-Домкраты гидравлические подкатные",56.000000000000,0,1,1,1,0
2023-09-30,"51153","510-Домкраты гидравлические подкатные",19.000000000000,0,1,1,1,0
2023-09-30,"51154","510-Домкраты гидравлические подкатные",3.000000000000,0,1,1,1,0
2023-09-30,"51155","510-Домкраты гидравлические подкатные",2.000000000000,0,1,1,1,0
2023-09-30,"51156","510-Домкраты гидравлические подкатные",1.000000000000,0,1,1,1,0
2023-09-30,"51157","510-Домкраты гидравлические подкатные",142.000000000000,0,1,1,1,0
2023-09-30,"737624","743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",1.000000000000,0,1,1,1,0
2023-09-30,"737920","743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",3.000000000000,0,1,1,1,0
2023-09-30,"743694","743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",22.000000000000,0,1,1,1,0
2023-09-30,"743890","743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",6.000000000000,0,1,1,1,0
2023-09-30,"74394","743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",1.000000000000,0,1,1,1,0
2023-09-30,"74400","743-Круги абразивные армированные ""Сибртех, MATRIX, DENZEL, GROSS""",63.000000000000,0,1,1,1,0
2023-10-31,"14007","140-Воротки",21.000000000000,0,1,1,1,0
2023-10-31,"14008","140-Воротки",15.000000000000,0,1,1,1,0
